person,process,product ,press
person,process,idea,context
trait ,thinking ,product ,environment
characteristic,ideation,response,make sense
personality,redefine,use,make sense in
personality trait,many responses,specific,contributes to society
inspiring ,more responses,unsual,makes contributions to society 
appreciated by others,longer,unique,motivation
opinionated,many types of responses,surprising,motivated
rebellions,detail of responses,effective ,
artistic,think,appropriate,
humor,thought,logical,
funny ,rethink,sensible,
sense of humor,mental ,new,
aesthetic ,representation,novel,
,more ,original,
,more answers,,
,volume,,
,variety,,
,did not think of,,